Date,Count
2020-01-01,36
2020-02-01,42
2020-03-01,48
2020-04-01,51
2020-05-01,36
2020-06-01,26
2020-07-01,26
2020-08-01,15
2020-09-01,7
2020-10-01,15
2020-11-01,18
2020-12-01,28
2021-01-01,42
2021-02-01,39
2021-03-01,43
2021-04-01,47
2021-05-01,38
2021-06-01,35
2021-07-01,19
2021-08-01,10
2021-09-01,22
2021-10-01,17
2021-11-01,26
2021-12-01,29
2022-01-01,44
2022-02-01,55
2022-03-01,52
2022-04-01,57
2022-05-01,46
2022-06-01,38
2022-07-01,27
2022-08-01,32
2022-09-01,20
2022-10-01,18
2022-11-01,36
2022-12-01,36
2023-01-01,54
2023-02-01,51
2023-03-01,57
2023-04-01,62
2023-05-01,58
2023-06-01,46
2023-07-01,35
2023-08-01,27
2023-09-01,19
2023-10-01,26
2023-11-01,35
2023-12-01,53
2024-01-01,60
2024-02-01,57
2024-03-01,71
2024-04-01,65
2024-05-01,57
2024-06-01,54
2024-07-01,46
2024-08-01,39
2024-09-01,28
2024-10-01,34
2024-11-01,45
2024-12-01,59
2025-01-01,62
2025-02-01,71
2025-03-01,70
2025-04-01,67
2025-05-01,70
2025-06-01,63
2025-07-01,47
2025-08-01,45
2025-09-01,40
2025-10-01,38
2025-11-01,51
2025-12-01,67
