Date,Count
2020-01-01,42
2020-02-01,47
2020-03-01,54
2020-04-01,56
2020-05-01,41
2020-06-01,31
2020-07-01,31
2020-08-01,20
2020-09-01,12
2020-10-01,20
2020-11-01,23
2020-12-01,33
2021-01-01,47
2021-02-01,44
2021-03-01,48
2021-04-01,52
2021-05-01,43
2021-06-01,40
2021-07-01,24
2021-08-01,15
2021-09-01,27
2021-10-01,22
2021-11-01,31
2021-12-01,34
2022-01-01,49
2022-02-01,60
2022-03-01,57
2022-04-01,62
2022-05-01,51
2022-06-01,43
2022-07-01,32
2022-08-01,37
2022-09-01,25
2022-10-01,23
2022-11-01,41
2022-12-01,41
2023-01-01,59
2023-02-01,56
2023-03-01,62
2023-04-01,67
2023-05-01,63
2023-06-01,51
2023-07-01,40
2023-08-01,32
2023-09-01,24
2023-10-01,31
2023-11-01,40
2023-12-01,58
2024-01-01,65
2024-02-01,62
2024-03-01,76
2024-04-01,70
2024-05-01,62
2024-06-01,59
2024-07-01,51
2024-08-01,44
2024-09-01,33
2024-10-01,39
2024-11-01,50
2024-12-01,64
2025-01-01,67
2025-02-01,76
2025-03-01,7
2025-04-01,72
2025-05-01,75
2025-06-01,68
2025-07-01,52
2025-08-01,50
2025-09-01,45
2025-10-01,43
2025-11-01,56
2025-12-01,72
2026-01-01,75
