Date,Count
2022-01-01,24
2022-02-01,32
2022-03-01,11
2022-04-01,12
2022-05-01,39
2022-06-01,18
2022-07-01,115
2022-08-01,129
2022-09-01,83
2022-10-01,81
2022-11-01,10
2022-12-01,8
2023-01-01,33
2023-02-01,22
2023-03-01,30
2023-04-01,38
2023-05-01,14
2023-06-01,18
2023-07-01,127
2023-08-01,94
2023-09-01,151
2023-10-01,157
2023-11-01,153
2023-12-01,133
2024-01-01,11
2024-02-01,11
2024-03-01,27
2024-04-01,25
2024-05-01,20
2024-06-01,22
2024-07-01,132
2024-08-01,103
2024-09-01,105
2024-10-01,139
2024-11-01,33
2024-12-01,19
2025-01-01,5
2025-02-01,29
2025-03-01,11
2025-04-01,13
2025-05-01,28
2025-06-01,5
2025-07-01,87
2025-08-01,142
2025-09-01,90
2025-10-01,87
2025-11-01,39
2025-12-01,39
