Date,Count
2020-01-01,49
2020-02-01,56
2020-03-01,53
2020-04-01,48
2020-05-01,39
2020-06-01,34
2020-07-01,29
2020-08-01,34
2020-09-01,33
2020-10-01,39
2020-11-01,40
2020-12-01,54
2021-01-01,58
2021-02-01,55
2021-03-01,54
2021-04-01,50
2021-05-01,45
2021-06-01,41
2021-07-01,37
2021-08-01,34
2021-09-01,38
2021-10-01,39
2021-11-01,47
2021-12-01,54
2022-01-01,59
2022-02-01,64
2022-03-01,59
2022-04-01,57
2022-05-01,53
2022-06-01,42
2022-07-01,43
2022-08-01,38
2022-09-01,39
2022-10-01,50
2022-11-01,57
2022-12-01,62
2023-01-01,63
2023-02-01,64
2023-03-01,67
2023-04-01,62
2023-05-01,54
2023-06-01,51
2023-07-01,43
2023-08-01,48
2023-09-01,45
2023-10-01,53
2023-11-01,56
2023-12-01,64
2024-01-01,70
2024-02-01,69
2024-03-01,74
2024-04-01,69
2024-05-01,65
2024-06-01,59
2024-07-01,52
2024-08-01,53
2024-09-01,48
2024-10-01,54
2024-11-01,59
2024-12-01,68
2025-01-01,73
2025-02-01,75
2025-03-01,78
2025-04-01,71
2025-05-01,64
2025-06-01,61
2025-07-01,53
2025-08-01,57
2025-09-01,53
2025-10-01,65
2025-11-01,70
2025-12-01,71
