Date,Count
2022-01-01,15
2022-02-01,34
2022-03-01,21
2022-04-01,10
2022-05-01,25
2022-06-01,32
2022-07-01,14
2022-08-01,16
2022-09-01,28
2022-10-01,22
2022-11-01,15
2022-12-01,12
2023-01-01,20
2023-02-01,30
2023-03-01,24
2023-04-01,18
2023-05-01,10
2023-06-01,14
2023-07-01,28
2023-08-01,32
2023-09-01,40
2023-10-01,45
2023-11-01,72
2023-12-01,26
2024-01-01,85
2024-02-01,45
2024-03-01,30
2024-04-01,22
2024-05-01,18
2024-06-01,25
2024-07-01,35
2024-08-01,42
2024-09-01,30
2024-10-01,22
2024-11-01,15
2024-12-01,14
2025-01-01,20
2025-02-01,32
2025-03-01,24
2025-04-01,18
2025-05-01,15
2025-06-01,28
2025-07-01,30
2025-08-01,35
2025-09-01,42
2025-10-01,35
2025-11-01,18
2025-12-01,15
