Date,Count
2020-01-01,1
2020-02-01,1
2020-03-01,3
2020-04-01,5
2020-05-01,7
2020-06-01,6
2020-07-01,1
2020-08-01,5
2020-09-01,6
2020-10-01,6
2020-11-01,7
2020-12-01,6
2021-01-01,7
2021-02-01,9
2021-03-01,11
2021-04-01,11
2021-05-01,7
2021-06-01,4
2021-07-01,4
2021-08-01,4
2021-09-01,4
2021-10-01,8
2021-11-01,15
2021-12-01,10
2022-01-01,10
2022-02-01,19
2022-03-01,2
2022-04-01,13
2022-05-01,19
2022-06-01,20
2022-07-01,14
2022-08-01,16
2022-09-01,17
2022-10-01,25
2022-11-01,18
2022-12-01,25
2023-01-01,23
2023-02-01,29
2023-03-01,33
2023-04-01,18
2023-05-01,2
2023-06-01,28
2023-07-01,34
2023-08-01,32
2023-09-01,33
2023-10-01,32
2023-11-01,18
2023-12-01,23
2024-01-01,8
2024-02-01,4
2024-03-01,4
2024-04-01,7
2024-05-01,2
2024-06-01,4
2024-07-01,3
2024-08-01,1
2024-09-01,2
2024-10-01,72
2024-11-01,55
2024-12-01,56
2025-01-01,22
2025-02-01,37
2025-03-01,21
2025-04-01,25
2025-05-01,23
2025-06-01,24
2025-07-01,34
2025-08-01,30
2025-09-01,26
2025-10-01,9
2025-11-01,26
2025-12-01,25
2026-01-01,19
2026-02-01,20
2026-03-01,1
