Date,Count
2020-01-01,49
2020-02-01,49
2020-03-01,51
2020-04-01,49
2020-05-01,35
2020-06-01,28
2020-07-01,30
2020-08-01,25
2020-09-01,23
2020-10-01,33
2020-11-01,37
2020-12-01,45
2021-01-01,53
2021-02-01,47
2021-03-01,46
2021-04-01,46
2021-05-01,37
2021-06-01,35
2021-07-01,25
2021-08-01,22
2021-09-01,36
2021-10-01,35
2021-11-01,44
2021-12-01,46
2022-01-01,55
2022-02-01,60
2022-03-01,54
2022-04-01,55
2022-05-01,44
2022-06-01,38
2022-07-01,32
2022-08-01,40
2022-09-01,35
2022-10-01,37
2022-11-01,52
2022-12-01,52
2023-01-01,63
2023-02-01,57
2023-03-01,58
2023-04-01,59
2023-05-01,54
2023-06-01,45
2023-07-01,39
2023-08-01,36
2023-09-01,34
2023-10-01,43
2023-11-01,52
2023-12-01,66
2024-01-01,69
2024-02-01,63
2024-03-01,70
2024-04-01,62
2024-05-01,53
2024-06-01,52
2024-07-01,48
2024-08-01,46
2024-09-01,41
2024-10-01,50
2024-11-01,60
2024-12-01,70
2025-01-01,71
2025-02-01,74
2025-03-01,69
2025-04-01,63
2025-05-01,64
2025-06-01,60
2025-07-01,49
2025-08-01,51
2025-09-01,51
2025-10-01,53
2025-11-01,65
2025-12-01,78
