Date,Count
2020-01-01,47
2020-02-01,53
2020-03-01,55
2020-04-01,55
2020-05-01,40
2020-06-01,31
2020-07-01,28
2020-08-01,17
2020-09-01,10
2020-10-01,23
2020-11-01,29
2020-12-01,35
2021-01-01,43
2021-02-01,49
2021-03-01,54
2021-04-01,53
2021-05-01,41
2021-06-01,32
2021-07-01,24
2021-08-01,19
2021-09-01,25
2021-10-01,26
2021-11-01,33
2021-12-01,42
2022-01-01,51
2022-02-01,59
2022-03-01,55
2022-04-01,60
2022-05-01,52
2022-06-01,41
2022-07-01,30
2022-08-01,33
2022-09-01,25
2022-10-01,29
2022-11-01,41
2022-12-01,50
2023-01-01,56
2023-02-01,60
2023-03-01,65
2023-04-01,66
2023-05-01,54
2023-06-01,43
2023-07-01,35
2023-08-01,33
2023-09-01,28
2023-10-01,36
2023-11-01,46
2023-12-01,56
2024-01-01,63
2024-02-01,69
2024-03-01,71
2024-04-01,69
2024-05-01,59
2024-06-01,51
2024-07-01,41
2024-08-01,42
2024-09-01,38
2024-10-01,46
2024-11-01,55
2024-12-01,66
2025-01-01,69
2025-02-01,75
2025-03-01,76
2025-04-01,71
2025-05-01,62
2025-06-01,59
2025-07-01,47
2025-08-01,45
2025-09-01,42
2025-10-01,47
2025-11-01,58
2025-12-01,72
